AlarmId,Timestamp,Severity,SourceNodeId,AlarmType,Description,SliceId
ALM-00001,2025-06-21T08:00:00Z,MINOR,GNB-SYD-01,CLOCK_DRIFT,PTP clock drift within tolerance (no KPI impact),
ALM-00002,2025-06-21T08:30:00Z,MINOR,GNB-MEL-02,CLOCK_DRIFT,PTP clock drift within tolerance (no KPI impact),
ALM-00003,2025-06-21T09:00:00Z,MINOR,GNB-PER-02,CLOCK_DRIFT,PTP clock drift within tolerance (no KPI impact),
ALM-00004,2025-06-21T09:30:00Z,MINOR,GNB-PER-01,CLOCK_DRIFT,PTP clock drift within tolerance (no KPI impact),
ALM-00005,2025-06-21T09:10:00Z,CRITICAL,LINK-FH-CELL-MEL-01-2-1,FRONTHAUL_DEGRADED,eCPRI fronthaul LINK-FH-CELL-MEL-01-2-1 optical power below threshold; CRC errors rising,
ALM-00006,2025-06-21T09:10:00Z,MAJOR,CELL-MEL-01-2-1,PRB_CONGESTION,PRB utilisation on CELL-MEL-01-2-1 exceeded 90% sustained,
ALM-00007,2025-06-21T09:10:00Z,CRITICAL,LINK-FH-CELL-MEL-01-2-2,FRONTHAUL_DEGRADED,eCPRI fronthaul LINK-FH-CELL-MEL-01-2-2 optical power below threshold; CRC errors rising,
ALM-00008,2025-06-21T09:10:00Z,MAJOR,CELL-MEL-01-2-2,PRB_CONGESTION,PRB utilisation on CELL-MEL-01-2-2 exceeded 90% sustained,
ALM-00009,2025-06-21T09:10:00Z,CRITICAL,LINK-FH-CELL-MEL-01-2-3,FRONTHAUL_DEGRADED,eCPRI fronthaul LINK-FH-CELL-MEL-01-2-3 optical power below threshold; CRC errors rising,
ALM-00010,2025-06-21T09:10:00Z,MAJOR,CELL-MEL-01-2-3,PRB_CONGESTION,PRB utilisation on CELL-MEL-01-2-3 exceeded 90% sustained,
ALM-00011,2025-06-21T09:10:00Z,MAJOR,DU-MEL-01-2,DU_OVERLOAD,DU-MEL-01-2 L1 load elevated following fronthaul degradation,
ALM-00012,2025-06-21T09:15:00Z,MAJOR,CELL-MEL-01-2-1,PRB_CONGESTION,PRB utilisation on CELL-MEL-01-2-1 exceeded 90% sustained,
ALM-00013,2025-06-21T09:15:00Z,MAJOR,CELL-MEL-01-2-1,RRC_SETUP_FAILURE,RRC setup success on CELL-MEL-01-2-1 dropped below 95%,
ALM-00014,2025-06-21T09:15:00Z,MAJOR,CELL-MEL-01-2-2,PRB_CONGESTION,PRB utilisation on CELL-MEL-01-2-2 exceeded 90% sustained,
ALM-00015,2025-06-21T09:15:00Z,MAJOR,CELL-MEL-01-2-2,RRC_SETUP_FAILURE,RRC setup success on CELL-MEL-01-2-2 dropped below 95%,
ALM-00016,2025-06-21T09:15:00Z,MAJOR,CELL-MEL-01-2-3,PRB_CONGESTION,PRB utilisation on CELL-MEL-01-2-3 exceeded 90% sustained,
ALM-00017,2025-06-21T09:15:00Z,MAJOR,CELL-MEL-01-2-3,RRC_SETUP_FAILURE,RRC setup success on CELL-MEL-01-2-3 dropped below 95%,
ALM-00018,2025-06-21T09:15:00Z,CRITICAL,SL-URLLC-01,SLA_BREACH,URLLC slice latency exceeded 5ms SLA (observed >10ms); penalty exposure active,SL-URLLC-01
ALM-00019,2025-06-21T09:20:00Z,MAJOR,CELL-MEL-01-2-1,PRB_CONGESTION,PRB utilisation on CELL-MEL-01-2-1 exceeded 90% sustained,
ALM-00020,2025-06-21T09:20:00Z,MAJOR,CELL-MEL-01-2-1,RRC_SETUP_FAILURE,RRC setup success on CELL-MEL-01-2-1 dropped below 95%,
ALM-00021,2025-06-21T09:20:00Z,MAJOR,CELL-MEL-01-2-2,PRB_CONGESTION,PRB utilisation on CELL-MEL-01-2-2 exceeded 90% sustained,
