CellId,Timestamp,PRBUtilPct,RRCSuccessPct,DLThroughputMbps
CELL-SYD-01-1-1,2025-06-21T08:00:00Z,50.8,99.43,247.6
CELL-SYD-01-1-1,2025-06-21T08:05:00Z,55.5,98.65,276.3
CELL-SYD-01-1-1,2025-06-21T08:10:00Z,53.2,99.79,219.8
CELL-SYD-01-1-1,2025-06-21T08:15:00Z,50.0,99.87,192.2
CELL-SYD-01-1-1,2025-06-21T08:20:00Z,51.6,88.99,266.2
CELL-SYD-01-1-1,2025-06-21T08:25:00Z,47.4,88.21,342.1
CELL-SYD-01-1-1,2025-06-21T08:30:00Z,45.7,84.9,301.8
CELL-SYD-01-1-1,2025-06-21T08:35:00Z,55.6,85.92,335.4
CELL-SYD-01-1-1,2025-06-21T08:40:00Z,54.7,84.57,328.2
CELL-SYD-01-1-1,2025-06-21T08:45:00Z,47.5,86.31,232.7
CELL-SYD-01-1-1,2025-06-21T08:50:00Z,49.6,86.41,338.0
CELL-SYD-01-1-1,2025-06-21T08:55:00Z,48.1,99.34,204.2
CELL-SYD-01-1-1,2025-06-21T09:00:00Z,50.8,99.03,311.8
CELL-SYD-01-1-1,2025-06-21T09:05:00Z,51.6,99.61,203.4
CELL-SYD-01-1-1,2025-06-21T09:10:00Z,54.4,99.75,299.7
CELL-SYD-01-1-1,2025-06-21T09:15:00Z,56.3,98.93,241.9
CELL-SYD-01-1-1,2025-06-21T09:20:00Z,55.8,99.17,222.5
CELL-SYD-01-1-1,2025-06-21T09:25:00Z,54.3,98.73,240.7
CELL-SYD-01-1-1,2025-06-21T09:30:00Z,50.2,98.83,271.7
CELL-SYD-01-1-1,2025-06-21T09:35:00Z,50.2,98.75,349.8
CELL-SYD-01-1-1,2025-06-21T09:40:00Z,45.0,98.95,276.1
CELL-SYD-01-1-1,2025-06-21T09:45:00Z,47.3,99.61,243.9
CELL-SYD-01-1-1,2025-06-21T09:50:00Z,47.0,99.22,207.0
CELL-SYD-01-1-1,2025-06-21T09:55:00Z,56.1,98.55,298.9
CELL-SYD-01-1-2,2025-06-21T08:00:00Z,44.6,98.92,194.8
CELL-SYD-01-1-2,2025-06-21T08:05:00Z,40.2,98.97,288.2
CELL-SYD-01-1-2,2025-06-21T08:10:00Z,46.2,99.14,267.5
CELL-SYD-01-1-2,2025-06-21T08:15:00Z,45.0,99.75,191.1
CELL-SYD-01-1-2,2025-06-21T08:20:00Z,37.5,98.86,356.9
CELL-SYD-01-1-2,2025-06-21T08:25:00Z,47.6,99.0,278.1
CELL-SYD-01-1-2,2025-06-21T08:30:00Z,47.3,98.51,312.2
