UEId,Timestamp,CQI,ThroughputMbps,BLERPct
UE-CELL-SYD-01-1-1-1,2025-06-21T08:00:00Z,13.6,25.8,2.0
UE-CELL-SYD-01-1-1-1,2025-06-21T08:05:00Z,14.0,80.2,1.2
UE-CELL-SYD-01-1-1-1,2025-06-21T08:10:00Z,15.3,55.4,2.6
UE-CELL-SYD-01-1-1-1,2025-06-21T08:15:00Z,13.9,35.9,0.7
UE-CELL-SYD-01-1-1-1,2025-06-21T08:20:00Z,13.8,38.8,1.6
UE-CELL-SYD-01-1-1-1,2025-06-21T08:25:00Z,15.1,29.0,2.7
UE-CELL-SYD-01-1-1-1,2025-06-21T08:30:00Z,13.8,33.4,2.5
UE-CELL-SYD-01-1-1-1,2025-06-21T08:35:00Z,13.5,57.5,1.2
UE-CELL-SYD-01-1-1-1,2025-06-21T08:40:00Z,13.4,87.4,2.8
UE-CELL-SYD-01-1-1-1,2025-06-21T08:45:00Z,12.8,49.8,2.5
UE-CELL-SYD-01-1-1-1,2025-06-21T08:50:00Z,14.1,56.2,2.1
UE-CELL-SYD-01-1-1-1,2025-06-21T08:55:00Z,13.8,26.2,2.1
UE-CELL-SYD-01-1-1-1,2025-06-21T09:00:00Z,13.5,48.2,2.3
UE-CELL-SYD-01-1-1-1,2025-06-21T09:05:00Z,12.6,37.0,1.3
UE-CELL-SYD-01-1-1-1,2025-06-21T09:10:00Z,14.3,53.3,1.8
UE-CELL-SYD-01-1-1-1,2025-06-21T09:15:00Z,12.5,40.6,1.3
UE-CELL-SYD-01-1-1-1,2025-06-21T09:20:00Z,14.5,67.6,1.7
UE-CELL-SYD-01-1-1-1,2025-06-21T09:25:00Z,12.7,23.9,2.6
UE-CELL-SYD-01-1-1-1,2025-06-21T09:30:00Z,13.0,42.1,1.2
UE-CELL-SYD-01-1-1-1,2025-06-21T09:35:00Z,12.5,29.5,1.1
UE-CELL-SYD-01-1-1-1,2025-06-21T09:40:00Z,14.6,39.2,0.7
UE-CELL-SYD-01-1-1-1,2025-06-21T09:45:00Z,14.4,89.5,1.0
UE-CELL-SYD-01-1-1-1,2025-06-21T09:50:00Z,13.8,79.6,1.1
UE-CELL-SYD-01-1-1-1,2025-06-21T09:55:00Z,15.2,33.0,2.9
UE-CELL-SYD-01-1-1-2,2025-06-21T08:00:00Z,11.9,72.3,2.0
UE-CELL-SYD-01-1-1-2,2025-06-21T08:05:00Z,10.7,58.3,1.9
UE-CELL-SYD-01-1-1-2,2025-06-21T08:10:00Z,10.7,20.5,2.8
UE-CELL-SYD-01-1-1-2,2025-06-21T08:15:00Z,11.2,30.5,1.1
UE-CELL-SYD-01-1-1-2,2025-06-21T08:20:00Z,10.3,84.9,0.9
UE-CELL-SYD-01-1-1-2,2025-06-21T08:25:00Z,10.4,69.4,1.9
UE-CELL-SYD-01-1-1-2,2025-06-21T08:30:00Z,9.8,43.3,1.6
UE-CELL-SYD-01-1-1-2,2025-06-21T08:35:00Z,11.5,46.9,1.0
UE-CELL-SYD-01-1-1-2,2025-06-21T08:40:00Z,11.9,62.5,1.6
UE-CELL-SYD-01-1-1-2,2025-06-21T08:45:00Z,11.4,38.8,2.1
UE-CELL-SYD-01-1-1-2,2025-06-21T08:50:00Z,12.0,36.8,2.5
UE-CELL-SYD-01-1-1-2,2025-06-21T08:55:00Z,12.6,89.8,1.8
UE-CELL-SYD-01-1-1-2,2025-06-21T09:00:00Z,12.0,41.7,1.6
UE-CELL-SYD-01-1-1-2,2025-06-21T09:05:00Z,12.6,72.3,2.5
UE-CELL-SYD-01-1-1-2,2025-06-21T09:10:00Z,10.3,89.1,2.4
UE-CELL-SYD-01-1-1-2,2025-06-21T09:15:00Z,11.4,71.9,0.6
UE-CELL-SYD-01-1-1-2,2025-06-21T09:20:00Z,12.3,68.4,0.8
UE-CELL-SYD-01-1-1-2,2025-06-21T09:25:00Z,12.8,33.3,2.8
UE-CELL-SYD-01-1-1-2,2025-06-21T09:30:00Z,10.5,33.8,1.9
UE-CELL-SYD-01-1-1-2,2025-06-21T09:35:00Z,9.9,31.1,1.4
UE-CELL-SYD-01-1-1-2,2025-06-21T09:40:00Z,11.4,75.6,2.5
UE-CELL-SYD-01-1-1-2,2025-06-21T09:45:00Z,11.5,45.8,1.6
UE-CELL-SYD-01-1-1-2,2025-06-21T09:50:00Z,12.6,30.3,0.6
UE-CELL-SYD-01-1-1-2,2025-06-21T09:55:00Z,11.3,51.7,2.4
UE-CELL-SYD-01-1-2-1,2025-06-21T08:00:00Z,10.2,74.7,2.0
UE-CELL-SYD-01-1-2-1,2025-06-21T08:05:00Z,11.9,28.8,2.9
UE-CELL-SYD-01-1-2-1,2025-06-21T08:10:00Z,9.8,68.0,1.0
UE-CELL-SYD-01-1-2-1,2025-06-21T08:15:00Z,9.5,62.7,0.8
UE-CELL-SYD-01-1-2-1,2025-06-21T08:20:00Z,11.4,30.3,2.9
UE-CELL-SYD-01-1-2-1,2025-06-21T08:25:00Z,11.9,44.5,1.4
UE-CELL-SYD-01-1-2-1,2025-06-21T08:30:00Z,12.0,38.9,0.7
UE-CELL-SYD-01-1-2-1,2025-06-21T08:35:00Z,9.8,73.9,1.5
UE-CELL-SYD-01-1-2-1,2025-06-21T08:40:00Z,11.0,21.8,2.9
UE-CELL-SYD-01-1-2-1,2025-06-21T08:45:00Z,11.3,84.3,1.3
UE-CELL-SYD-01-1-2-1,2025-06-21T08:50:00Z,11.5,44.8,1.5
UE-CELL-SYD-01-1-2-1,2025-06-21T08:55:00Z,10.9,68.3,1.9
UE-CELL-SYD-01-1-2-1,2025-06-21T09:00:00Z,12.1,60.3,2.8
UE-CELL-SYD-01-1-2-1,2025-06-21T09:05:00Z,10.8,61.4,2.2
UE-CELL-SYD-01-1-2-1,2025-06-21T09:10:00Z,11.3,57.4,2.5
UE-CELL-SYD-01-1-2-1,2025-06-21T09:15:00Z,10.1,57.1,2.5
UE-CELL-SYD-01-1-2-1,2025-06-21T09:20:00Z,12.4,77.0,3.0
UE-CELL-SYD-01-1-2-1,2025-06-21T09:25:00Z,10.4,74.5,2.5
UE-CELL-SYD-01-1-2-1,2025-06-21T09:30:00Z,9.6,71.0,1.2
UE-CELL-SYD-01-1-2-1,2025-06-21T09:35:00Z,9.9,35.3,0.7
UE-CELL-SYD-01-1-2-1,2025-06-21T09:40:00Z,9.6,49.1,1.8
UE-CELL-SYD-01-1-2-1,2025-06-21T09:45:00Z,11.9,78.5,3.0
UE-CELL-SYD-01-1-2-1,2025-06-21T09:50:00Z,12.4,84.0,1.2
UE-CELL-SYD-01-1-2-1,2025-06-21T09:55:00Z,9.8,52.4,1.4
UE-CELL-SYD-01-1-2-2,2025-06-21T08:00:00Z,14.8,42.3,0.7
UE-CELL-SYD-01-1-2-2,2025-06-21T08:05:00Z,12.4,88.5,2.7
UE-CELL-SYD-01-1-2-2,2025-06-21T08:10:00Z,13.2,20.4,1.3
UE-CELL-SYD-01-1-2-2,2025-06-21T08:15:00Z,12.2,25.2,1.7
UE-CELL-SYD-01-1-2-2,2025-06-21T08:20:00Z,12.9,77.9,0.6
