AlertId,Timestamp,SourceNodeId,SourceNodeType,AlertType,Severity,Description,OpticalPowerDbm,BitErrorRate,CPUUtilPct,PacketLossPct
ALT-20260204-853175,2026-02-04T00:00:27.472Z,LINK-SYD-MEL-FIBRE-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-2.8,6.554e-12,44.1,0.542
ALT-20260204-715405,2026-02-04T00:01:19.562Z,GNB-MEL-3021,BaseStation,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.0,8.836e-12,43.0,0.346
ALT-20260204-948502,2026-02-04T00:01:38.184Z,LINK-MEL-AGG-EAST-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-2.8,5.058e-12,22.3,0.001
ALT-20260204-621233,2026-02-04T00:01:47.124Z,LINK-SYD-AGG-NORTH-01,TransportLink,HIGH_CPU,MINOR,CPU utilisation 1.4% — brief convergence spike,-2.0,3.594e-12,54.8,0.593
ALT-20260204-158719,2026-02-04T00:02:02.957Z,GNB-MEL-3012,BaseStation,HIGH_CPU,MINOR,CPU utilisation 0.4% — brief convergence spike,-3.3,9.285e-13,39.0,0.348
ALT-20260204-341792,2026-02-04T00:03:30.704Z,LINK-MEL-AGG-EAST-01,TransportLink,DUPLICATE_ALERT,MINOR,Duplicate alarm suppressed — flapping interface,-3.3,1.208e-12,49.3,0.735
ALT-20260204-964007,2026-02-04T00:07:10.826Z,LINK-SYD-AGG-SOUTH-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.1,8.548e-12,61.1,0.402
ALT-20260204-564577,2026-02-04T00:07:21.342Z,LINK-SYD-MEL-FIBRE-02,TransportLink,DUPLICATE_ALERT,MINOR,Duplicate alarm suppressed — flapping interface,-3.0,1.075e-11,45.7,0.033
ALT-20260204-536873,2026-02-04T00:08:20.285Z,LINK-SYD-AGG-SOUTH-01,TransportLink,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.47% — transient microloop,-2.2,7.109e-12,25.3,0.537
ALT-20260204-624916,2026-02-04T00:09:33.320Z,LINK-BNE-AGG-SOUTH-01,TransportLink,DUPLICATE_ALERT,MINOR,Duplicate alarm suppressed — flapping interface,-2.9,4.181e-13,54.1,0.328
ALT-20260204-181379,2026-02-04T00:10:49.994Z,LINK-BNE-AGG-SOUTH-01,TransportLink,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 1.32% — transient microloop,-2.3,5.023e-12,33.4,0.001
ALT-20260204-701932,2026-02-04T00:11:25.073Z,GNB-MEL-3012,BaseStation,DUPLICATE_ALERT,MINOR,Duplicate alarm suppressed — flapping interface,-3.9,8.109e-12,46.0,0.168
ALT-20260204-513146,2026-02-04T00:11:54.772Z,GNB-MEL-3011,BaseStation,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-2.4,4.868e-12,29.8,0.001
ALT-20260204-039739,2026-02-04T00:13:08.495Z,LINK-SYD-MEL-FIBRE-01,TransportLink,DUPLICATE_ALERT,MINOR,Duplicate alarm suppressed — flapping interface,-2.7,5.515e-12,29.0,0.189
ALT-20260204-591760,2026-02-04T00:16:51.325Z,LINK-MEL-AGG-EAST-01,TransportLink,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.71% — transient microloop,-2.6,7.703e-12,37.3,0.001
ALT-20260204-480997,2026-02-04T00:18:23.079Z,GNB-MEL-3021,BaseStation,HIGH_CPU,MINOR,CPU utilisation 0.3% — brief convergence spike,-2.9,4.485e-12,38.6,0.596
ALT-20260204-148649,2026-02-04T00:19:22.262Z,LINK-MEL-BNE-FIBRE-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-1.9,3.846e-12,54.5,0.815
ALT-20260204-122304,2026-02-04T00:19:31.415Z,LINK-SYD-MEL-FIBRE-02,TransportLink,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.32% — transient microloop,-3.4,6.121e-12,32.0,0.107
ALT-20260204-762171,2026-02-04T00:21:39.294Z,LINK-SYD-AGG-SOUTH-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.1,2.202e-12,33.3,0.582
ALT-20260204-947678,2026-02-04T00:23:14.395Z,LINK-SYD-MEL-FIBRE-02,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-2.8,8.764e-12,50.9,0.627
ALT-20260204-261997,2026-02-04T00:24:17.986Z,GNB-SYD-2041,BaseStation,HIGH_CPU,MINOR,CPU utilisation 1.0% — brief convergence spike,-2.8,5.795e-12,22.2,0.56
ALT-20260204-710490,2026-02-04T00:25:29.958Z,GNB-SYD-2041,BaseStation,DUPLICATE_ALERT,MINOR,Duplicate alarm suppressed — flapping interface,-3.0,4.470e-12,43.2,0.286
ALT-20260204-799837,2026-02-04T00:26:08.479Z,LINK-BNE-AGG-SOUTH-01,TransportLink,DUPLICATE_ALERT,MINOR,Duplicate alarm suppressed — flapping interface,-2.5,6.364e-12,31.7,0.479
ALT-20260204-123191,2026-02-04T00:26:16.373Z,GNB-BNE-4012,BaseStation,HIGH_CPU,MINOR,CPU utilisation 1.1% — brief convergence spike,-3.3,5.538e-12,32.4,0.201
ALT-20260204-893338,2026-02-04T00:26:52.039Z,GNB-BNE-4011,BaseStation,HIGH_CPU,MINOR,CPU utilisation 0.3% — brief convergence spike,-2.1,1.000e-14,27.6,0.805
ALT-20260204-898193,2026-02-04T00:27:14.149Z,GNB-BNE-4012,BaseStation,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.98% — transient microloop,-2.8,8.244e-12,54.6,0.348
ALT-20260204-493481,2026-02-04T00:28:00.382Z,GNB-SYD-2041,BaseStation,DUPLICATE_ALERT,MINOR,Duplicate alarm suppressed — flapping interface,-3.1,5.715e-12,27.9,0.001
ALT-20260204-895542,2026-02-04T00:28:13.718Z,GNB-MEL-3011,BaseStation,DUPLICATE_ALERT,MINOR,Duplicate alarm suppressed — flapping interface,-2.7,6.106e-12,22.5,0.363
ALT-20260204-658760,2026-02-04T00:30:25.147Z,GNB-BNE-4012,BaseStation,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 1.25% — transient microloop,-4.1,2.141e-12,25.1,0.638
ALT-20260204-305099,2026-02-04T00:31:10.472Z,LINK-MEL-AGG-WEST-01,TransportLink,HIGH_CPU,MINOR,CPU utilisation 0.9% — brief convergence spike,-2.9,1.196e-12,16.2,0.272
ALT-20260204-918638,2026-02-04T00:31:33.566Z,GNB-SYD-2043,BaseStation,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.0,3.639e-12,60.0,0.333
ALT-20260204-127043,2026-02-04T00:31:48.742Z,GNB-BNE-4011,BaseStation,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 1.16% — transient microloop,-3.3,4.820e-13,29.4,0.732
ALT-20260204-360266,2026-02-04T00:32:24.396Z,GNB-MEL-3011,BaseStation,HIGH_CPU,MINOR,CPU utilisation 1.2% — brief convergence spike,-1.9,8.045e-12,30.1,0.292
ALT-20260204-508976,2026-02-04T00:35:56.363Z,GNB-MEL-3011,BaseStation,HIGH_CPU,MINOR,CPU utilisation 1.1% — brief convergence spike,-2.6,4.668e-12,27.4,0.001
ALT-20260204-425517,2026-02-04T00:38:20.710Z,LINK-BNE-AGG-CENTRAL-01,TransportLink,HIGH_CPU,MINOR,CPU utilisation 0.4% — brief convergence spike,-2.5,1.000e-14,32.2,0.365
ALT-20260204-041808,2026-02-04T00:39:43.727Z,LINK-MEL-AGG-WEST-01,TransportLink,DUPLICATE_ALERT,MINOR,Duplicate alarm suppressed — flapping interface,-1.6,9.535e-12,44.5,0.001
ALT-20260204-094983,2026-02-04T00:41:20.721Z,LINK-SYD-AGG-NORTH-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-2.9,7.008e-12,46.6,0.757
ALT-20260204-575022,2026-02-04T00:44:18.744Z,LINK-MEL-AGG-EAST-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.1,2.878e-12,34.9,0.564
