LinkId,Timestamp,UtilizationPct,OpticalPowerDbm,BitErrorRate,LatencyMs
LINK-SYD-MEL-FIBRE-01,2026-02-04T00:00:00.000Z,49.2,-2.8,5.306e-12,6.8
LINK-SYD-MEL-FIBRE-02,2026-02-04T00:00:00.000Z,32.9,-3.3,3.200e-12,7.9
LINK-SYD-BNE-FIBRE-01,2026-02-04T00:00:00.000Z,27.3,-2.2,1.729e-12,12.2
LINK-MEL-BNE-FIBRE-01,2026-02-04T00:00:00.000Z,29.8,-2.3,4.126e-12,10.6
LINK-SYD-AGG-NORTH-01,2026-02-04T00:00:00.000Z,34.6,-1.1,1.039e-12,0.5
LINK-SYD-AGG-SOUTH-01,2026-02-04T00:00:00.000Z,33.1,-1.1,6.564e-13,0.9
LINK-MEL-AGG-EAST-01,2026-02-04T00:00:00.000Z,19.8,-1.7,1.000e-14,0.8
LINK-MEL-AGG-WEST-01,2026-02-04T00:00:00.000Z,30.1,-1.1,6.610e-13,1.4
LINK-BNE-AGG-CENTRAL-01,2026-02-04T00:00:00.000Z,28.3,-1.4,1.527e-12,0.5
LINK-BNE-AGG-SOUTH-01,2026-02-04T00:00:00.000Z,23.8,-1.2,1.559e-12,1.2
LINK-SYD-MEL-FIBRE-01,2026-02-04T00:05:00.000Z,42.6,-2.1,8.823e-13,7.3
LINK-SYD-MEL-FIBRE-02,2026-02-04T00:05:00.000Z,29.6,-2.7,2.076e-12,10.6
LINK-SYD-BNE-FIBRE-01,2026-02-04T00:05:00.000Z,44.9,-2.2,3.221e-12,11.3
LINK-MEL-BNE-FIBRE-01,2026-02-04T00:05:00.000Z,34.7,-3.0,5.038e-12,19.7
LINK-SYD-AGG-NORTH-01,2026-02-04T00:05:00.000Z,33.5,-1.5,1.507e-12,1.1
LINK-SYD-AGG-SOUTH-01,2026-02-04T00:05:00.000Z,25.9,-1.7,1.340e-12,2.2
LINK-MEL-AGG-EAST-01,2026-02-04T00:05:00.000Z,32.8,-0.8,1.732e-12,1.3
LINK-MEL-AGG-WEST-01,2026-02-04T00:05:00.000Z,25.3,-1.4,7.316e-13,0.9
LINK-BNE-AGG-CENTRAL-01,2026-02-04T00:05:00.000Z,21.8,-1.4,1.536e-12,1.2
LINK-BNE-AGG-SOUTH-01,2026-02-04T00:05:00.000Z,18.2,-1.2,1.056e-12,0.9
LINK-SYD-MEL-FIBRE-01,2026-02-04T00:10:00.000Z,58.1,-2.2,1.707e-12,7.6
LINK-SYD-MEL-FIBRE-02,2026-02-04T00:10:00.000Z,25.6,-3.1,2.496e-12,6.2
LINK-SYD-BNE-FIBRE-01,2026-02-04T00:10:00.000Z,45.4,-2.6,7.681e-13,9.9
LINK-MEL-BNE-FIBRE-01,2026-02-04T00:10:00.000Z,30.3,-2.9,4.284e-12,19.5
LINK-SYD-AGG-NORTH-01,2026-02-04T00:10:00.000Z,29.9,-1.4,3.159e-13,0.7
LINK-SYD-AGG-SOUTH-01,2026-02-04T00:10:00.000Z,25.6,-1.7,6.439e-13,1.4
LINK-MEL-AGG-EAST-01,2026-02-04T00:10:00.000Z,19.3,-0.9,1.102e-12,0.8
LINK-MEL-AGG-WEST-01,2026-02-04T00:10:00.000Z,31.1,-1.6,4.604e-13,0.6
LINK-BNE-AGG-CENTRAL-01,2026-02-04T00:10:00.000Z,29.6,-1.2,1.235e-12,1.3
LINK-BNE-AGG-SOUTH-01,2026-02-04T00:10:00.000Z,23.4,-1.0,2.021e-12,0.5
LINK-SYD-MEL-FIBRE-01,2026-02-04T00:15:00.000Z,45.7,-2.4,5.395e-12,9.5
LINK-SYD-MEL-FIBRE-02,2026-02-04T00:15:00.000Z,31.7,-3.5,5.087e-12,7.6
LINK-SYD-BNE-FIBRE-01,2026-02-04T00:15:00.000Z,44.0,-2.8,1.553e-12,10.3
