ReadingId,Timestamp,SensorId,SensorType,Value,Unit,Status
RD-20260204-288389,2026-02-04T00:00:00+00:00,SENS-SYD-MEL-F1-OPT-001,OpticalPower,-10.3,dBm,NORMAL
RD-20260204-310160,2026-02-04T00:00:00+00:00,SENS-SYD-MEL-F1-OPT-002,OpticalPower,-11.5,dBm,NORMAL
RD-20260204-181162,2026-02-04T00:00:00+00:00,SENS-SYD-MEL-F1-OPT-003,OpticalPower,-11.5,dBm,NORMAL
RD-20260204-502290,2026-02-04T00:00:00+00:00,SENS-SYD-MEL-F1-BER-001,BitErrorRate,0.0,ratio,NORMAL
RD-20260204-333580,2026-02-04T00:00:00+00:00,SENS-SYD-MEL-F1-BER-002,BitErrorRate,0.0,ratio,NORMAL
RD-20260204-158612,2026-02-04T00:00:00+00:00,SENS-SYD-MEL-F2-OPT-001,OpticalPower,-9.7,dBm,NORMAL
RD-20260204-895528,2026-02-04T00:00:00+00:00,SENS-SYD-MEL-F2-OPT-002,OpticalPower,-10.5,dBm,NORMAL
RD-20260204-091876,2026-02-04T00:00:00+00:00,SENS-SYD-BNE-F1-OPT-001,OpticalPower,-10.3,dBm,NORMAL
RD-20260204-164618,2026-02-04T00:00:00+00:00,SENS-SYD-BNE-F1-OPT-002,OpticalPower,-10.7,dBm,NORMAL
RD-20260204-897805,2026-02-04T00:00:00+00:00,SENS-MEL-BNE-F1-OPT-001,OpticalPower,-10.7,dBm,NORMAL
RD-20260204-708534,2026-02-04T00:00:00+00:00,SENS-MEL-BNE-F1-OPT-002,OpticalPower,-11.0,dBm,NORMAL
RD-20260204-447852,2026-02-04T00:00:00+00:00,SENS-CORE-SYD-01-TEMP-001,Temperature,34.2,°C,NORMAL
RD-20260204-398756,2026-02-04T00:00:00+00:00,SENS-CORE-SYD-01-CPU-001,CPULoad,33.2,%,NORMAL
RD-20260204-935693,2026-02-04T00:00:00+00:00,SENS-CORE-MEL-01-TEMP-001,Temperature,28.1,°C,NORMAL
RD-20260204-829530,2026-02-04T00:00:00+00:00,SENS-CORE-MEL-01-CPU-001,CPULoad,38.4,%,NORMAL
RD-20260204-028825,2026-02-04T00:00:00+00:00,SENS-CORE-BNE-01-TEMP-001,Temperature,35.3,°C,NORMAL
RD-20260204-256787,2026-02-04T00:05:00+00:00,SENS-SYD-MEL-F1-OPT-001,OpticalPower,-10.3,dBm,NORMAL
RD-20260204-885447,2026-02-04T00:05:00+00:00,SENS-SYD-MEL-F1-OPT-002,OpticalPower,-11.8,dBm,NORMAL
RD-20260204-799776,2026-02-04T00:05:00+00:00,SENS-SYD-MEL-F1-OPT-003,OpticalPower,-10.6,dBm,NORMAL
RD-20260204-220939,2026-02-04T00:05:00+00:00,SENS-SYD-MEL-F1-BER-001,BitErrorRate,0.0,ratio,NORMAL
RD-20260204-746348,2026-02-04T00:05:00+00:00,SENS-SYD-MEL-F1-BER-002,BitErrorRate,0.0,ratio,NORMAL
RD-20260204-582667,2026-02-04T00:05:00+00:00,SENS-SYD-MEL-F2-OPT-001,OpticalPower,-10.5,dBm,NORMAL
RD-20260204-087275,2026-02-04T00:05:00+00:00,SENS-SYD-MEL-F2-OPT-002,OpticalPower,-10.9,dBm,NORMAL
RD-20260204-845089,2026-02-04T00:05:00+00:00,SENS-SYD-BNE-F1-OPT-001,OpticalPower,-10.6,dBm,NORMAL
RD-20260204-878862,2026-02-04T00:05:00+00:00,SENS-SYD-BNE-F1-OPT-002,OpticalPower,-10.2,dBm,NORMAL
RD-20260204-359006,2026-02-04T00:05:00+00:00,SENS-MEL-BNE-F1-OPT-001,OpticalPower,-10.4,dBm,NORMAL
RD-20260204-568609,2026-02-04T00:05:00+00:00,SENS-MEL-BNE-F1-OPT-002,OpticalPower,-11.4,dBm,NORMAL
RD-20260204-730206,2026-02-04T00:05:00+00:00,SENS-CORE-SYD-01-TEMP-001,Temperature,30.9,°C,NORMAL
